iter	Passed	Remaining
0	2	262
1	7	358
2	11	357
3	13	317
4	16	305
5	21	335
6	23	318
7	26	303
8	28	283
9	30	271
10	36	298
11	40	293
12	42	283
13	47	290
14	50	283
15	52	273
16	53	262
17	55	253
18	58	248
19	63	253
20	65	247
21	67	238
22	69	231
23	71	224
24	74	224
25	76	219
26	79	214
27	80	208
28	82	202
29	91	214
30	93	208
31	95	202
32	97	197
33	99	194
34	102	191
35	105	187
36	107	183
37	109	178
38	110	173
39	116	174
40	119	171
41	120	166
42	122	162
43	123	157
44	125	153
45	128	150
46	130	147
47	132	143
48	133	139
49	135	135
50	136	131
51	138	127
52	144	128
53	146	125
54	147	120
55	149	117
56	150	113
57	151	109
58	153	106
59	154	103
60	157	100
61	159	97
62	161	94
63	162	91
64	164	88
65	165	85
66	167	82
67	172	81
68	174	78
69	176	75
70	177	72
71	178	69
72	180	66
73	182	64
74	185	61
75	187	59
76	189	56
77	190	53
78	191	50
79	193	48
80	194	45
81	198	43
82	202	41
83	204	38
84	206	36
85	207	33
86	209	31
87	214	29
88	216	26
89	218	24
90	219	21
91	221	19
92	223	16
93	225	14
94	227	11
95	228	9
96	229	7
97	231	4
98	232	2
99	233	0
