iter	Passed	Remaining
0	156	156756
1	159	79825
2	162	53976
3	164	40966
4	166	33084
5	168	27841
6	170	24143
7	174	21648
8	176	19445
9	178	17661
10	180	16205
11	182	15010
12	185	14063
13	188	13270
14	190	12495
15	191	11796
16	193	11202
17	195	10644
18	196	10148
19	200	9830
20	203	9480
21	206	9165
22	208	8842
23	210	8553
24	212	8301
25	215	8062
26	218	7856
27	219	7632
28	221	7423
29	225	7282
30	227	7116
31	229	6946
32	231	6774
33	232	6614
34	235	6481
35	237	6357
36	239	6230
37	241	6101
38	242	5977
39	244	5862
40	245	5750
41	247	5649
42	250	5564
43	252	5482
44	254	5400
45	255	5308
46	257	5223
47	259	5141
48	261	5072
49	263	4997
50	265	4939
51	267	4876
52	269	4813
53	271	4753
54	272	4688
55	274	4633
56	277	4583
57	279	4532
58	280	4476
59	282	4421
60	283	4367
61	285	4316
62	287	4268
63	288	4226
64	291	4191
65	293	4154
66	295	4111
67	296	4065
68	298	4031
69	300	3990
70	302	3959
71	305	3939
72	307	3902
73	308	3863
74	310	3824
75	311	3786
76	313	3758
77	314	3722
78	316	3688
79	318	3659
80	320	3632
81	322	3604
82	323	3573
83	325	3554
84	327	3522
85	328	3490
86	330	3465
87	332	3443
88	334	3422
89	335	3395
90	337	3374
91	339	3348
92	340	3321
93	341	3294
94	343	3268
95	344	3245
96	347	3236
97	348	3212
98	350	3191
99	352	3169
100	353	3148
101	355	3126
102	356	3103
103	358	3085
104	360	3070
105	361	3050
106	363	3030
107	364	3013
108	366	2996
109	369	2986
110	370	2970
111	372	2957
112	374	2942
113	377	2931
114	379	2917
115	381	2907
116	383	2893
117	385	2883
118	388	2876
119	390	2866
120	393	2856
121	394	2839
122	396	2829
123	399	2822
124	404	2829
125	406	2817
126	408	2807
127	410	2796
128	413	2794
129	417	2791
130	420	2787
131	422	2779
132	424	2766
133	426	2755
134	428	2747
135	431	2743
136	433	2733
137	435	2722
138	438	2715
139	440	2704
140	442	2695
141	444	2685
142	447	2678
143	449	2670
144	451	2663
145	453	2654
146	455	2645
147	459	2642
148	462	2641
149	464	2632
150	466	2624
151	469	2617
152	472	2615
153	476	2619
154	480	2617
155	483	2613
156	485	2606
157	488	2605
158	491	2601
159	494	2595
160	495	2584
161	500	2586
162	503	2585
163	506	2581
164	508	2573
165	511	2568
166	513	2562
167	516	2560
168	519	2553
169	521	2544
170	523	2535
171	525	2530
172	530	2535
173	533	2531
174	535	2526
175	537	2518
176	539	2510
177	543	2511
178	546	2506
179	549	2501
180	552	2500
181	554	2493
182	559	2498
183	562	2492
184	564	2484
185	567	2481
186	569	2475
187	573	2477
188	578	2481
189	581	2477
190	583	2473
191	588	2475
192	591	2473
193	594	2469
194	597	2467
195	604	2478
196	608	2481
197	611	2477
198	614	2474
199	622	2490
200	624	2481
201	627	2478
202	632	2483
203	635	2478
204	637	2472
205	639	2466
206	641	2457
207	644	2453
208	649	2458
209	653	2457
210	660	2470
211	664	2470
212	666	2463
213	670	2461
214	673	2457
215	676	2456
216	679	2452
217	681	2446
218	684	2441
219	686	2433
220	688	2425
221	689	2417
222	691	2410
223	693	2402
224	695	2395
225	698	2391
226	700	2384
227	702	2377
228	703	2369
229	705	2361
230	707	2354
231	709	2347
232	711	2341
233	713	2334
234	715	2327
235	716	2320
236	718	2314
237	720	2307
238	723	2304
239	726	2300
240	728	2293
241	729	2286
242	731	2278
243	733	2272
244	735	2265
245	736	2258
246	742	2262
247	744	2256
248	746	2250
249	748	2246
250	750	2240
251	753	2237
252	756	2232
253	758	2227
254	760	2222
255	762	2215
256	765	2213
257	768	2210
258	770	2204
259	773	2201
260	775	2195
261	777	2190
262	779	2184
263	782	2181
264	785	2179
265	787	2174
266	790	2170
267	792	2165
268	795	2161
269	799	2160
270	801	2156
271	805	2156
272	813	2165
273	816	2163
274	819	2161
275	822	2158
276	826	2158
277	829	2154
278	831	2149
279	833	2143
280	835	2138
281	837	2133
282	851	2157
283	853	2153
284	857	2150
285	858	2143
286	860	2137
287	862	2133
288	865	2129
289	867	2124
290	872	2125
291	874	2121
292	879	2121
293	885	2127
294	890	2128
295	893	2125
296	898	2127
297	901	2123
298	903	2119
299	909	2121
300	914	2124
301	916	2119
302	919	2114
303	921	2109
304	923	2104
305	925	2098
306	930	2101
307	932	2095
308	934	2090
309	937	2085
310	939	2080
311	941	2075
312	944	2072
313	946	2068
314	948	2063
315	951	2059
316	953	2054
317	955	2049
318	957	2045
319	960	2040
320	962	2035
321	964	2029
322	966	2026
323	968	2021
324	970	2016
325	974	2013
326	978	2014
327	982	2012
328	985	2010
329	988	2007
330	991	2003
331	993	1998
332	995	1993
333	997	1989
334	1000	1986
335	1003	1983
336	1006	1980
337	1008	1975
338	1010	1971
339	1015	1970
340	1019	1971
341	1024	1970
342	1027	1967
343	1031	1966
344	1035	1965
345	1038	1962
346	1040	1958
347	1044	1957
348	1047	1953
349	1049	1949
350	1052	1946
351	1056	1945
352	1059	1941
353	1061	1937
354	1064	1934
355	1066	1929
356	1071	1930
357	1078	1934
358	1082	1933
359	1088	1934
360	1097	1942
361	1102	1943
362	1106	1941
363	1110	1939
364	1112	1935
365	1116	1933
366	1118	1929
367	1120	1924
368	1123	1920
369	1125	1916
370	1127	1910
371	1129	1906
372	1132	1903
373	1134	1898
374	1135	1893
375	1137	1888
376	1139	1883
377	1141	1878
378	1144	1875
379	1146	1870
380	1148	1865
381	1149	1860
382	1152	1856
383	1154	1851
384	1156	1847
385	1196	1903
386	1232	1952
387	1236	1950
388	1241	1949
389	1244	1945
390	1247	1942
391	1250	1938
392	1252	1934
393	1255	1930
394	1257	1925
395	1260	1922
396	1263	1919
397	1267	1917
398	1271	1914
399	1273	1909
400	1275	1905
401	1278	1901
402	1279	1895
403	1282	1891
404	1284	1887
405	1286	1882
406	1287	1876
407	1289	1870
408	1291	1865
409	1292	1859
410	1293	1854
411	1296	1849
412	1298	1844
413	1299	1839
414	1301	1834
415	1302	1828
416	1304	1823
417	1305	1818
418	1307	1813
419	1309	1808
420	1311	1803
421	1312	1798
422	1314	1792
423	1315	1787
424	1317	1781
425	1318	1776
426	1319	1771
427	1321	1765
428	1322	1760
429	1324	1756
430	1327	1751
431	1329	1747
432	1330	1742
433	1332	1737
434	1334	1732
435	1336	1728
436	1338	1724
437	1340	1720
438	1342	1715
439	1343	1709
440	1345	1705
441	1346	1700
442	1348	1694
443	1349	1689
444	1350	1684
445	1352	1680
446	1355	1676
447	1356	1671
448	1358	1666
449	1359	1661
450	1361	1656
451	1362	1651
452	1364	1647
453	1365	1642
454	1368	1639
455	1370	1634
456	1372	1630
457	1373	1625
458	1374	1620
459	1376	1615
460	1377	1611
461	1379	1606
462	1380	1601
463	1382	1597
464	1384	1592
465	1385	1588
466	1387	1583
467	1389	1579
468	1391	1575
469	1392	1570
470	1394	1566
471	1395	1561
472	1398	1557
473	1399	1552
474	1400	1548
475	1402	1543
476	1404	1539
477	1405	1534
478	1406	1530
479	1408	1525
480	1409	1521
481	1412	1517
482	1413	1513
483	1415	1508
484	1417	1505
485	1418	1500
486	1420	1496
487	1421	1491
488	1423	1487
489	1425	1483
490	1427	1479
491	1429	1475
492	1431	1472
493	1433	1468
494	1435	1464
495	1437	1460
496	1439	1456
497	1441	1452
498	1442	1448
499	1444	1444
500	1445	1439
501	1447	1435
502	1448	1431
503	1449	1426
504	1451	1422
505	1452	1418
506	1455	1415
507	1457	1411
508	1458	1407
509	1460	1402
510	1461	1398
511	1462	1394
512	1464	1390
513	1466	1386
